No.,Team,Shortform,Player,Acquisition Type,Country,Sold Price,Price in Crore,Nationality,Player Type,Role
1,Chennai Super Kings,CSK,Ruturaj Gaikwad,Retained,India,180000000,18.0,Indian ,capped,Batter
2,Chennai Super Kings,CSK,Ravindra Jadeja,Retained,India,180000000,18.0,Indian ,capped,All-rounder
3,Chennai Super Kings,CSK,Matheesha Pathirana,Auctioned,Sri Lanka,130000000,13.0,Overseas ,capped,Bowler
4,Chennai Super Kings,CSK,Shivam Dube,Retained,India,120000000,12.0,Indian ,capped,Batter
5,Chennai Super Kings,CSK,MS Dhoni,Retained,India,40000000,4.0,Indian ,uncapped,Batter/Wicketkeeper
6,Chennai Super Kings,CSK,Devon Conway,Auctioned,New Zealand,62500000,6.25,Overseas ,capped,Batter
7,Chennai Super Kings,CSK,Rahul Tripathi,Auctioned,India,34000000,3.4,Indian ,capped,Batter
8,Chennai Super Kings,CSK,Rachin Ravindra,Auctioned,New Zealand,40000000,4.0,Overseas ,capped,All-rounder
9,Chennai Super Kings,CSK,Ravichandran Ashwin,Auctioned,India,97500000,9.75,Indian ,capped,Bowler
10,Chennai Super Kings,CSK,Syed Khaleel Ahmed,Auctioned,India,48000000,4.8,Indian ,capped,Bowler
11,Chennai Super Kings,CSK,Noor Ahmad,Auctioned,Afghanistan,100000000,10.0,Overseas ,capped,Bowler
12,Chennai Super Kings,CSK,Vijay Shankar,Auctioned,India,12000000,1.2,Indian ,uncapped,All-rounder
13,Chennai Super Kings,CSK,Sam Curran,Auctioned,India,24000000,2.4,Overseas ,capped,All-rounder
14,Chennai Super Kings,CSK,Shaik Rasheed,Auctioned,India,3000000,0.3,Indian ,uncapped,Batter
15,Chennai Super Kings,CSK,Anshul Kamboj,Auctioned,India,34000000,3.4,Indian ,uncapped,All-rounder
16,Chennai Super Kings,CSK,Mukesh Choudhary,Auctioned,India,3000000,0.3,Indian ,uncapped,Bowler
17,Chennai Super Kings,CSK,Deepak Hooda,Auctioned,India,17000000,1.7,Indian ,capped,Batter
18,Chennai Super Kings,CSK,Gurjapneet Singh,Auctioned,India,22000000,2.2,Indian ,uncapped,Bowler
19,Chennai Super Kings,CSK,Nathan Ellis,Auctioned,Australia,12500000,1.25,Overseas ,capped,Bowler
20,Chennai Super Kings,CSK,Ramakrishna Ghosh,Auctioned,India,3000000,0.3,Indian ,uncapped,All-rounder
21,Chennai Super Kings,CSK,Kamlesh Nagarkoti,Auctioned,India,3000000,0.3,Indian ,uncapped,Bowler
22,Chennai Super Kings,CSK,Jamie Overton,Auctioned,India,15000000,1.5,Overseas ,capped,All-rounder
23,Chennai Super Kings,CSK,Shreyas Gopal,Auctioned,India,3000000,0.3,Indian ,uncapped,Bowler
24,Chennai Super Kings,CSK,Vansh Bedi,Auctioned,India,5500000,0.55,Indian ,uncapped,Batter
25,Chennai Super Kings,CSK,C Andre Siddarth,Auctioned,India,3000000,0.3,Indian ,uncapped,Batter
26,Delhi Capitals,DC,Axar Patel,Retained,India,165000000,16.5,Indian ,capped,Bowler
27,Delhi Capitals,DC,Kuldeep Yadav,Retained,India,132500000,13.25,Indian ,capped,Bowler
28,Delhi Capitals,DC,Tristan Stubbs,Retained,South Africa,100000000,10.0,Overseas ,capped,Batter
29,Delhi Capitals,DC,Abishek Porel,Auctioned,India,40000000,4.0,Indian ,uncapped,Batter/Wicketkeeper
30,Delhi Capitals,DC,Mitchell Starc,Auctioned,Australia,117500000,11.75,Overseas ,capped,Bowler
31,Delhi Capitals,DC,KL Rahul,Auctioned,India,140000000,14.0,Indian ,capped,Batter/Wicketkeeper
32,Delhi Capitals,DC,Harry Brook,Auctioned,England,62500000,6.25,Overseas ,capped,Batter
33,Delhi Capitals,DC,Jake Fraser-Mcgurk,Auctioned,Australia,90000000,9.0,Overseas ,capped,Batter
34,Delhi Capitals,DC,T Natarajan,Auctioned,India,107500000,10.75,Indian ,capped,Bowler
35,Delhi Capitals,DC,Karun Nair,Auctioned,India,5000000,0.5,Indian ,uncapped,Batter
36,Delhi Capitals,DC,Sameer Rizvi,Auctioned,India,9500000,0.95,Indian ,uncapped,All-rounder
37,Delhi Capitals,DC,Ashutosh Sharma,Auctioned,India,38000000,3.8,Indian ,uncapped,All-rounder
38,Delhi Capitals,DC,Mohit Sharma,Auctioned,India,22000000,2.2,Indian ,uncapped,Bowler
39,Delhi Capitals,DC,Faf du Plessis,Auctioned,South Africa,20000000,2.0,Overseas ,capped,Batter
40,Delhi Capitals,DC,Mukesh Kumar,Auctioned,India,80000000,8.0,Indian ,capped,Bowler
41,Delhi Capitals,DC,Darshan Nalkande,Auctioned,India,3000000,0.3,Indian ,uncapped,All-rounder
